Market,Segment,Occasion,Pack Size,Flavor,Channel,Price,WtP_Estimate,Elasticity,Unit_Sales,Revenue,Gross_Margin_%,Gross_Margin_Value
India,Low-SEC,Impulse,Multi-pack,Spicy,Modern Trade,20,23.85,-0.43,508,10160,0.35,3564.04
India,Low-SEC,Impulse,Multi-pack,Spicy,Traditional Trade,100,123.41,-0.81,499,49900,0.42,20795.11
India,Low-SEC,Impulse,Multi-pack,Local Specialty,7-Eleven,50,54.65,-0.37,492,24600,0.48,11770.99
India,Low-SEC,Impulse,Multi-pack,Local Specialty,Modern Trade,5,6.24,-0.99,527,2635,0.32,831.42
India,Low-SEC,Impulse,Multi-pack,Local Specialty,Traditional Trade,50,57.77,-1.3,504,25200,0.41,10301.99
India,Low-SEC,Impulse,Multi-pack,Health-Oriented,7-Eleven,70,89.99,-0.82,465,32550,0.5,16177.88
India,Low-SEC,Impulse,Multi-pack,Health-Oriented,Modern Trade,5,6.03,-0.45,516,2580,0.41,1059.72
India,Low-SEC,Impulse,Multi-pack,Health-Oriented,Traditional Trade,30,32.57,-1.07,486,14580,0.44,6459.44
India,Low-SEC,Top-up,Small (20g),Classic Salted,7-Eleven,100,125.15,-0.54,510,51000,0.44,22375.63
India,Low-SEC,Top-up,Small (20g),Classic Salted,Modern Trade,50,79.26,-0.43,489,24450,0.23,5579.36
India,Low-SEC,Top-up,Small (20g),Classic Salted,Traditional Trade,5,5.76,-0.94,503,2515,0.38,948.78
India,Low-SEC,Top-up,Small (20g),Spicy,7-Eleven,20,24.16,-1.46,491,9820,0.36,3502.53
India,Low-SEC,Top-up,Small (20g),Spicy,Modern Trade,5,5.64,-0.75,463,2315,0.36,832.03
India,Low-SEC,Top-up,Small (20g),Spicy,Traditional Trade,100,126.8,-0.85,509,50900,0.49,25081.26
India,Low-SEC,Top-up,Small (20g),Local Specialty,7-Eleven,10,9.97,-0.55,484,4840,0.22,1081.92
India,Low-SEC,Top-up,Small (20g),Local Specialty,Modern Trade,50,60.93,-1.47,513,25650,0.25,6463.5
India,Low-SEC,Top-up,Small (20g),Local Specialty,Traditional Trade,50,57.63,-0.84,514,25700,0.28,7298.29
India,Low-SEC,Top-up,Small (20g),Health-Oriented,7-Eleven,100,113.47,-0.35,516,51600,0.38,19789.44
India,Low-SEC,Top-up,Small (20g),Health-Oriented,Modern Trade,100,104.81,-1.07,518,51800,0.23,12163.77
India,Low-SEC,Top-up,Small (20g),Health-Oriented,Traditional Trade,5,5.76,-1.44,514,2570,0.23,589.43
India,Low-SEC,Top-up,Medium (50g),Classic Salted,7-Eleven,70,61.31,-1.29,496,34720,0.38,13358.69
India,Low-SEC,Top-up,Medium (50g),Classic Salted,Modern Trade,50,54.88,-0.74,446,22300,0.39,8647
India,Low-SEC,Top-up,Medium (50g),Classic Salted,Traditional Trade,100,131.63,-0.71,475,47500,0.39,18654.47
India,Low-SEC,Top-up,Medium (50g),Spicy,7-Eleven,100,120.1,-1.47,505,50500,0.37,18818.43
India,Low-SEC,Top-up,Medium (50g),Spicy,Modern Trade,10,13.59,-0.95,503,5030,0.32,1588.63
India,Low-SEC,Top-up,Medium (50g),Spicy,Traditional Trade,10,10.76,-0.35,535,5350,0.22,1181.32
India,Low-SEC,Top-up,Medium (50g),Local Specialty,7-Eleven,5,6.14,-1.41,488,2440,0.21,505.04
India,Low-SEC,Top-up,Medium (50g),Local Specialty,Modern Trade,70,79.64,-0.52,485,33950,0.41,13886.27
India,Low-SEC,Top-up,Medium (50g),Local Specialty,Traditional Trade,50,64.5,-0.62,522,26100,0.25,6609.35
India,Low-SEC,Top-up,Medium (50g),Health-Oriented,7-Eleven,100,123.07,-0.6,494,49400,0.43,21386.44
India,Low-SEC,Top-up,Medium (50g),Health-Oriented,Modern Trade,30,37.64,-0.47,495,14850,0.43,6331.49
India,Low-SEC,Top-up,Medium (50g),Health-Oriented,Traditional Trade,50,58.99,-1.38,534,26700,0.45,11959.92
India,Low-SEC,Top-up,Large (100g),Classic Salted,7-Eleven,10,12.68,-1.03,464,4640,0.49,2250.49
India,Low-SEC,Top-up,Large (100g),Classic Salted,Modern Trade,5,5.84,-0.36,505,2525,0.33,844.7
India,Low-SEC,Top-up,Large (100g),Classic Salted,Traditional Trade,50,54.97,-0.69,517,25850,0.44,11293.49
India,Low-SEC,Top-up,Large (100g),Spicy,7-Eleven,70,75.5,-1.39,500,35000,0.36,12770.05
India,Low-SEC,Top-up,Large (100g),Spicy,Modern Trade,5,6.49,-1.08,469,2345,0.43,1004.72
India,Low-SEC,Top-up,Large (100g),Spicy,Traditional Trade,30,35.56,-0.76,466,13980,0.41,5735.86
India,Low-SEC,Top-up,Large (100g),Local Specialty,7-Eleven,10,11.53,-1.4,492,4920,0.48,2382.14
India,Low-SEC,Top-up,Large (100g),Local Specialty,Modern Trade,10,12.23,-0.32,517,5170,0.23,1163.51
India,Low-SEC,Top-up,Large (100g),Local Specialty,Traditional Trade,10,12.31,-0.99,535,5350,0.35,1860.66
India,Low-SEC,Top-up,Large (100g),Health-Oriented,7-Eleven,50,67.38,-1.49,498,24900,0.24,5867.57
India,Low-SEC,Top-up,Large (100g),Health-Oriented,Modern Trade,50,61.61,-0.6,505,25250,0.31,7889.64
India,Low-SEC,Top-up,Large (100g),Health-Oriented,Traditional Trade,50,55.86,-1.16,529,26450,0.49,12933.17
India,Low-SEC,Top-up,Multi-pack,Classic Salted,7-Eleven,5,6.11,-1.41,503,2515,0.36,897.68
India,Low-SEC,Top-up,Multi-pack,Classic Salted,Modern Trade,10,12.01,-0.74,513,5130,0.39,1991.81
India,Low-SEC,Top-up,Multi-pack,Classic Salted,Traditional Trade,20,25.74,-1.45,532,10640,0.39,4107.46
India,Low-SEC,Top-up,Multi-pack,Spicy,7-Eleven,20,24.37,-1.17,477,9540,0.31,2919.29
India,Low-SEC,Top-up,Multi-pack,Spicy,Modern Trade,10,11.24,-0.33,502,5020,0.44,2229.58
India,Low-SEC,Top-up,Multi-pack,Spicy,Traditional Trade,100,121.5,-0.68,475,47500,0.45,21221.16
India,Low-SEC,Top-up,Multi-pack,Local Specialty,7-Eleven,20,21.36,-0.38,528,10560,0.21,2195.53
India,Low-SEC,Top-up,Multi-pack,Local Specialty,Modern Trade,50,69.16,-1.05,473,23650,0.31,7432.42
India,Low-SEC,Top-up,Multi-pack,Local Specialty,Traditional Trade,70,83.2,-1,485,33950,0.46,15597.2
India,Low-SEC,Top-up,Multi-pack,Health-Oriented,7-Eleven,10,13.24,-0.52,503,5030,0.48,2431.65
India,Low-SEC,Top-up,Multi-pack,Health-Oriented,Modern Trade,100,115.5,-0.96,507,50700,0.4,20356.57
India,Low-SEC,Top-up,Multi-pack,Health-Oriented,Traditional Trade,70,88.36,-0.76,491,34370,0.4,13798.59
India,Low-SEC,Sharing,Small (20g),Classic Salted,7-Eleven,5,6.78,-0.88,527,2635,0.37,970.42
India,Low-SEC,Sharing,Small (20g),Classic Salted,Modern Trade,50,60.58,-0.45,494,24700,0.21,5153.28
India,Low-SEC,Sharing,Small (20g),Classic Salted,Traditional Trade,5,6.32,-0.66,480,2400,0.2,490.47
India,Low-SEC,Sharing,Small (20g),Spicy,7-Eleven,50,66.84,-1.08,506,25300,0.33,8380.43
India,Low-SEC,Sharing,Small (20g),Spicy,Modern Trade,50,58.65,-0.88,520,26000,0.39,10052.28
India,Low-SEC,Sharing,Small (20g),Spicy,Traditional Trade,20,25.44,-0.47,550,11000,0.48,5257.74
India,Low-SEC,Sharing,Small (20g),Local Specialty,7-Eleven,20,20.59,-0.95,489,9780,0.27,2660.59
India,Low-SEC,Sharing,Small (20g),Local Specialty,Modern Trade,50,59.72,-1.41,471,23550,0.25,5783.19
India,Low-SEC,Sharing,Small (20g),Local Specialty,Traditional Trade,20,24.73,-1.28,490,9800,0.34,3353.45
India,Low-SEC,Sharing,Small (20g),Health-Oriented,7-Eleven,30,33.18,-0.7,476,14280,0.21,3031.08
India,Low-SEC,Sharing,Small (20g),Health-Oriented,Modern Trade,5,5.73,-1.29,464,2320,0.34,784.7
India,Low-SEC,Sharing,Small (20g),Health-Oriented,Traditional Trade,20,22.41,-1.25,491,9820,0.41,3997.9
India,Low-SEC,Sharing,Medium (50g),Classic Salted,7-Eleven,5,5.65,-0.45,539,2695,0.28,762.86
India,Low-SEC,Sharing,Medium (50g),Classic Salted,Modern Trade,70,85.5,-0.53,517,36190,0.26,9510.91
India,Low-SEC,Sharing,Medium (50g),Classic Salted,Traditional Trade,20,23.45,-0.76,491,9820,0.42,4166.05
India,Low-SEC,Sharing,Medium (50g),Spicy,7-Eleven,5,4.85,-1.46,483,2415,0.47,1131.58
India,Low-SEC,Sharing,Medium (50g),Spicy,Modern Trade,70,105.55,-1.37,497,34790,0.27,9488.66
India,Low-SEC,Sharing,Medium (50g),Spicy,Traditional Trade,30,39.36,-1.18,492,14760,0.3,4378.17
India,Low-SEC,Sharing,Medium (50g),Local Specialty,7-Eleven,50,56.77,-1.36,532,26600,0.4,10739.24
India,Low-SEC,Sharing,Medium (50g),Local Specialty,Modern Trade,70,76.43,-0.55,500,35000,0.36,12639.62
India,Low-SEC,Sharing,Medium (50g),Local Specialty,Traditional Trade,20,27.05,-0.98,471,9420,0.31,2910.07
India,Low-SEC,Sharing,Medium (50g),Health-Oriented,7-Eleven,5,6.27,-0.72,504,2520,0.5,1249.81
India,Low-SEC,Sharing,Medium (50g),Health-Oriented,Modern Trade,5,5.3,-1.38,474,2370,0.25,588.24
India,Low-SEC,Sharing,Medium (50g),Health-Oriented,Traditional Trade,20,25.13,-1.28,486,9720,0.47,4558.97
India,Low-SEC,Sharing,Large (100g),Classic Salted,7-Eleven,20,24.1,-1.01,493,9860,0.46,4532.17
India,Low-SEC,Sharing,Large (100g),Classic Salted,Modern Trade,30,33.51,-0.52,483,14490,0.4,5804.59
India,Low-SEC,Sharing,Large (100g),Classic Salted,Traditional Trade,100,120.99,-0.81,485,48500,0.26,12421.49
India,Low-SEC,Sharing,Large (100g),Spicy,7-Eleven,30,38.25,-1.11,495,14850,0.27,4049.94
India,Low-SEC,Sharing,Large (100g),Spicy,Modern Trade,10,12.26,-1.15,505,5050,0.34,1738.93
India,Low-SEC,Sharing,Large (100g),Spicy,Traditional Trade,100,110.96,-0.86,450,45000,0.24,10814.6
India,Low-SEC,Sharing,Large (100g),Local Specialty,7-Eleven,20,26.01,-1.19,512,10240,0.38,3877.8
India,Low-SEC,Sharing,Large (100g),Local Specialty,Modern Trade,30,34.27,-0.93,494,14820,0.48,7096.69
India,Low-SEC,Sharing,Large (100g),Local Specialty,Traditional Trade,50,61.86,-0.37,477,23850,0.42,10072.72
India,Low-SEC,Sharing,Large (100g),Health-Oriented,7-Eleven,100,113.96,-0.81,526,52600,0.44,23069.32
India,Low-SEC,Sharing,Large (100g),Health-Oriented,Modern Trade,5,5.76,-1.3,523,2615,0.36,933.34
India,Low-SEC,Sharing,Large (100g),Health-Oriented,Traditional Trade,20,23.13,-1.07,530,10600,0.44,4716.79
India,Low-SEC,Sharing,Multi-pack,Classic Salted,7-Eleven,5,4.98,-0.94,487,2435,0.35,854.24
India,Low-SEC,Sharing,Multi-pack,Classic Salted,Modern Trade,50,54.96,-1.22,534,26700,0.36,9693.86
India,Low-SEC,Sharing,Multi-pack,Classic Salted,Traditional Trade,100,122.36,-1.36,545,54500,0.3,16375.71
India,Low-SEC,Sharing,Multi-pack,Spicy,7-Eleven,70,89.4,-1.33,521,36470,0.36,13130.6
India,Low-SEC,Sharing,Multi-pack,Spicy,Modern Trade,30,36.55,-1.32,487,14610,0.42,6182.72
India,Low-SEC,Sharing,Multi-pack,Spicy,Traditional Trade,100,122.48,-1.46,504,50400,0.46,23336.7
India,Low-SEC,Sharing,Multi-pack,Local Specialty,7-Eleven,100,130.38,-1.37,526,52600,0.32,16789.19
India,Low-SEC,Sharing,Multi-pack,Local Specialty,Modern Trade,30,34.47,-0.54,473,14190,0.42,5912.63
India,Low-SEC,Sharing,Multi-pack,Local Specialty,Traditional Trade,5,6.43,-0.67,503,2515,0.3,763.83
India,Low-SEC,Sharing,Multi-pack,Health-Oriented,7-Eleven,100,133.56,-1.28,536,53600,0.32,17165.69
India,Low-SEC,Sharing,Multi-pack,Health-Oriented,Modern Trade,30,37.96,-1.32,505,15150,0.38,5809.06
India,Low-SEC,Sharing,Multi-pack,Health-Oriented,Traditional Trade,50,59.72,-1.48,529,26450,0.37,9774.33
India,Low-SEC,Health-conscious,Small (20g),Classic Salted,7-Eleven,100,124.81,-0.65,474,47400,0.38,18107.49
India,Low-SEC,Health-conscious,Small (20g),Classic Salted,Modern Trade,5,6.11,-0.99,540,2700,0.23,631.72
India,Low-SEC,Health-conscious,Small (20g),Classic Salted,Traditional Trade,5,6.03,-0.79,493,2465,0.3,740.88
India,Low-SEC,Health-conscious,Small (20g),Spicy,7-Eleven,100,130.94,-0.54,493,49300,0.48,23464.66
India,Low-SEC,Health-conscious,Small (20g),Spicy,Modern Trade,30,32.13,-0.61,497,14910,0.34,5005.76
India,Low-SEC,Health-conscious,Small (20g),Spicy,Traditional Trade,100,107.05,-1.33,476,47600,0.33,15502.26
India,Low-SEC,Health-conscious,Small (20g),Local Specialty,7-Eleven,100,117.69,-0.8,509,50900,0.4,20312.22
India,Low-SEC,Health-conscious,Small (20g),Local Specialty,Modern Trade,20,25.39,-1.29,559,11180,0.32,3626.65
India,Low-SEC,Health-conscious,Small (20g),Local Specialty,Traditional Trade,30,43.72,-1.42,517,15510,0.47,7280.65
India,Low-SEC,Health-conscious,Small (20g),Health-Oriented,7-Eleven,5,6.03,-1.25,478,2390,0.34,816.47
India,Low-SEC,Health-conscious,Small (20g),Health-Oriented,Modern Trade,70,79.01,-0.57,497,34790,0.33,11558.24
India,Low-SEC,Health-conscious,Small (20g),Health-Oriented,Traditional Trade,10,12.11,-1.02,504,5040,0.25,1283.08
India,Low-SEC,Health-conscious,Medium (50g),Classic Salted,7-Eleven,10,10.59,-0.73,494,4940,0.25,1219.42
India,Low-SEC,Health-conscious,Medium (50g),Classic Salted,Modern Trade,10,11.22,-0.64,510,5100,0.27,1359.62
India,Low-SEC,Health-conscious,Medium (50g),Classic Salted,Traditional Trade,5,6.36,-1.48,467,2335,0.25,592.07
India,Low-SEC,Health-conscious,Medium (50g),Spicy,7-Eleven,100,108.71,-0.72,482,48200,0.27,13156.27
India,Low-SEC,Health-conscious,Medium (50g),Spicy,Modern Trade,30,38.13,-0.5,493,14790,0.26,3867.52
India,Low-SEC,Health-conscious,Medium (50g),Spicy,Traditional Trade,20,24.89,-1.15,533,10660,0.23,2405.46
India,Low-SEC,Health-conscious,Medium (50g),Local Specialty,7-Eleven,70,86.28,-0.99,533,37310,0.3,11287.96
India,Low-SEC,Health-conscious,Medium (50g),Local Specialty,Modern Trade,5,5.37,-1.19,492,2460,0.28,689.83
India,Low-SEC,Health-conscious,Medium (50g),Local Specialty,Traditional Trade,5,5.36,-0.84,496,2480,0.48,1201.65
India,Low-SEC,Health-conscious,Medium (50g),Health-Oriented,7-Eleven,50,68.77,-0.58,472,23600,0.35,8171.01
India,Low-SEC,Health-conscious,Medium (50g),Health-Oriented,Modern Trade,100,121.14,-0.99,503,50300,0.28,13951.53
India,Low-SEC,Health-conscious,Medium (50g),Health-Oriented,Traditional Trade,30,36.45,-1.33,502,15060,0.28,4242.28
India,Low-SEC,Health-conscious,Large (100g),Classic Salted,7-Eleven,100,121.96,-1.17,503,50300,0.45,22580.8
India,Low-SEC,Health-conscious,Large (100g),Classic Salted,Modern Trade,50,55.11,-1.25,534,26700,0.38,10125.28
India,Low-SEC,Health-conscious,Large (100g),Classic Salted,Traditional Trade,70,95.66,-1.29,537,37590,0.31,11838.65
India,Low-SEC,Health-conscious,Large (100g),Spicy,7-Eleven,20,26.03,-0.88,447,8940,0.42,3767.41
India,Low-SEC,Health-conscious,Large (100g),Spicy,Modern Trade,20,24.37,-1.21,493,9860,0.31,3024.08
India,Low-SEC,Health-conscious,Large (100g),Spicy,Traditional Trade,10,11.24,-0.64,486,4860,0.34,1666.08
India,Low-SEC,Health-conscious,Large (100g),Local Specialty,7-Eleven,30,37.48,-0.62,480,14400,0.28,4012.98
India,Low-SEC,Health-conscious,Large (100g),Local Specialty,Modern Trade,20,24.37,-0.79,450,9000,0.38,3411.48
India,Low-SEC,Health-conscious,Large (100g),Local Specialty,Traditional Trade,70,92.04,-1.37,460,32200,0.35,11226.45
India,Low-SEC,Health-conscious,Large (100g),Health-Oriented,7-Eleven,20,22.59,-0.67,496,9920,0.45,4421.65
India,Low-SEC,Health-conscious,Large (100g),Health-Oriented,Modern Trade,30,37.9,-1.17,506,15180,0.23,3453.06
India,Low-SEC,Health-conscious,Large (100g),Health-Oriented,Traditional Trade,50,64.86,-0.4,496,24800,0.36,8991.74
India,Low-SEC,Health-conscious,Multi-pack,Classic Salted,7-Eleven,100,123.8,-0.53,510,51000,0.45,23192.69
India,Low-SEC,Health-conscious,Multi-pack,Classic Salted,Modern Trade,70,88.27,-1.2,499,34930,0.5,17335.77
India,Low-SEC,Health-conscious,Multi-pack,Classic Salted,Traditional Trade,30,37.29,-1.28,504,15120,0.21,3177.98
India,Low-SEC,Health-conscious,Multi-pack,Spicy,7-Eleven,70,85.45,-0.66,486,34020,0.49,16714.62
India,Low-SEC,Health-conscious,Multi-pack,Spicy,Modern Trade,70,83.72,-0.47,526,36820,0.45,16520.2
India,Low-SEC,Health-conscious,Multi-pack,Spicy,Traditional Trade,10,12.68,-1.46,506,5060,0.24,1195.02
India,Low-SEC,Health-conscious,Multi-pack,Local Specialty,7-Eleven,10,12.22,-1.09,515,5150,0.29,1517.12
India,Low-SEC,Health-conscious,Multi-pack,Local Specialty,Modern Trade,70,80.65,-0.85,520,36400,0.39,14114.73
India,Low-SEC,Health-conscious,Multi-pack,Local Specialty,Traditional Trade,30,36.8,-1.22,502,15060,0.44,6620.9
India,Low-SEC,Health-conscious,Multi-pack,Health-Oriented,7-Eleven,100,128.9,-0.3,490,49000,0.32,15708.38
India,Low-SEC,Health-conscious,Multi-pack,Health-Oriented,Modern Trade,50,71.49,-0.45,495,24750,0.42,10426.55
India,Low-SEC,Health-conscious,Multi-pack,Health-Oriented,Traditional Trade,20,23.27,-1.21,468,9360,0.29,2678.57
India,Mid-SEC,Impulse,Small (20g),Classic Salted,7-Eleven,10,11,-1.45,495,4950,0.4,1999.28
India,Mid-SEC,Impulse,Small (20g),Classic Salted,Modern Trade,70,78.63,-1.24,550,38500,0.23,8732.7
India,Mid-SEC,Impulse,Small (20g),Classic Salted,Traditional Trade,5,6.49,-0.37,498,2490,0.25,622.77
India,Mid-SEC,Impulse,Small (20g),Spicy,7-Eleven,30,35.36,-0.31,510,15300,0.35,5413.24
India,Mid-SEC,Impulse,Small (20g),Spicy,Modern Trade,20,22.72,-1.24,477,9540,0.31,2910.06
India,Mid-SEC,Impulse,Small (20g),Spicy,Traditional Trade,10,11.47,-1.43,476,4760,0.43,2034.76
India,Mid-SEC,Impulse,Small (20g),Local Specialty,7-Eleven,70,78.17,-0.52,481,33670,0.36,12157.98
India,Mid-SEC,Impulse,Small (20g),Local Specialty,Modern Trade,30,37.41,-0.79,505,15150,0.46,7018.06
India,Mid-SEC,Impulse,Small (20g),Local Specialty,Traditional Trade,20,22.77,-0.43,522,10440,0.37,3813.29
India,Mid-SEC,Impulse,Small (20g),Health-Oriented,7-Eleven,5,5.81,-1.4,494,2470,0.28,686.48
India,Mid-SEC,Impulse,Small (20g),Health-Oriented,Modern Trade,70,83.77,-1.4,480,33600,0.22,7487.4
India,Mid-SEC,Impulse,Small (20g),Health-Oriented,Traditional Trade,5,6.9,-0.48,500,2500,0.38,944.31
India,Mid-SEC,Impulse,Medium (50g),Classic Salted,7-Eleven,100,115.11,-0.69,504,50400,0.46,23364.89
India,Mid-SEC,Impulse,Medium (50g),Classic Salted,Modern Trade,20,26.09,-0.54,510,10200,0.46,4693.92
India,Mid-SEC,Impulse,Medium (50g),Classic Salted,Traditional Trade,100,128.2,-0.66,512,51200,0.43,21801.73
India,Mid-SEC,Impulse,Medium (50g),Spicy,7-Eleven,30,37.52,-1.31,531,15930,0.21,3325.77
India,Mid-SEC,Impulse,Medium (50g),Spicy,Modern Trade,5,5.92,-1.1,517,2585,0.45,1151.33
India,Mid-SEC,Impulse,Medium (50g),Spicy,Traditional Trade,50,60.73,-0.5,500,25000,0.29,7152.79
India,Mid-SEC,Impulse,Medium (50g),Local Specialty,7-Eleven,10,12.19,-0.74,484,4840,0.36,1752.06
India,Mid-SEC,Impulse,Medium (50g),Local Specialty,Modern Trade,20,24.09,-0.56,467,9340,0.36,3384.63
India,Mid-SEC,Impulse,Medium (50g),Local Specialty,Traditional Trade,30,35.71,-0.74,542,16260,0.48,7823.8
India,Mid-SEC,Impulse,Medium (50g),Health-Oriented,7-Eleven,30,36.84,-0.67,458,13740,0.41,5667.09
India,Mid-SEC,Impulse,Medium (50g),Health-Oriented,Modern Trade,100,121.33,-1.08,508,50800,0.46,23442.22
India,Mid-SEC,Impulse,Medium (50g),Health-Oriented,Traditional Trade,100,113,-0.33,471,47100,0.21,9767.41
India,Mid-SEC,Impulse,Large (100g),Classic Salted,7-Eleven,20,27.13,-0.68,496,9920,0.5,4951.44
India,Mid-SEC,Impulse,Large (100g),Classic Salted,Modern Trade,70,83.54,-0.99,497,34790,0.44,15253.43
India,Mid-SEC,Impulse,Large (100g),Classic Salted,Traditional Trade,5,5.49,-1.4,512,2560,0.28,721.86
India,Mid-SEC,Impulse,Large (100g),Spicy,7-Eleven,30,38.13,-0.36,474,14220,0.48,6869.47
India,Mid-SEC,Impulse,Large (100g),Spicy,Modern Trade,10,13.85,-1.02,494,4940,0.27,1328.79
India,Mid-SEC,Impulse,Large (100g),Spicy,Traditional Trade,50,54.65,-1.24,491,24550,0.34,8395.19
India,Mid-SEC,Impulse,Large (100g),Local Specialty,7-Eleven,70,86.4,-0.57,526,36820,0.39,14281.23
India,Mid-SEC,Impulse,Large (100g),Local Specialty,Modern Trade,30,37.37,-1.34,507,15210,0.34,5239.19
India,Mid-SEC,Impulse,Large (100g),Local Specialty,Traditional Trade,5,5.66,-1.26,499,2495,0.37,934.61
India,Mid-SEC,Impulse,Large (100g),Health-Oriented,7-Eleven,100,138.01,-1.18,521,52100,0.34,17535.09
India,Mid-SEC,Impulse,Large (100g),Health-Oriented,Modern Trade,100,115.48,-0.78,486,48600,0.46,22260.58
India,Mid-SEC,Impulse,Large (100g),Health-Oriented,Traditional Trade,5,4.79,-0.56,467,2335,0.5,1158.16
India,Mid-SEC,Impulse,Multi-pack,Classic Salted,7-Eleven,5,6,-0.76,513,2565,0.2,520.52
India,Mid-SEC,Impulse,Multi-pack,Classic Salted,Modern Trade,100,108.42,-1.11,501,50100,0.31,15289.92
