Store_ID,Date,Compliance_Score,Photos_Audited,Avg_Facings_Variance
2053,2025-04-26,60,18,-1.57
2053,2025-04-21,88,9,-1.41
2019,2025-04-25,67,16,-0.7
2019,2025-04-23,84,13,-0.23
2019,2025-04-21,100,9,-1.17
2084,2025-04-22,72,12,-0.04
2084,2025-04-22,87,6,-0.99
2084,2025-04-23,89,10,-1.75
2036,2025-04-26,63,19,0.1
2036,2025-04-21,86,8,1.53
2036,2025-04-21,78,13,-1.29
2033,2025-04-26,60,20,1.14
2033,2025-04-24,64,19,-0.61
2033,2025-04-25,74,19,-1.2
2032,2025-04-26,77,20,1.85
2032,2025-04-22,70,20,-1.12
2032,2025-04-21,61,12,0.58
2045,2025-04-23,74,9,-1.56
2045,2025-04-25,83,13,0.76
2045,2025-04-22,93,14,0.99
2066,2025-04-20,64,8,-1.04
2066,2025-04-22,76,12,1.03
2066,2025-04-25,95,10,0.51
2062,2025-04-24,60,9,1.83
2062,2025-04-22,95,18,0.27
2062,2025-04-20,90,11,-1.25
2054,2025-04-25,79,18,-1.0
2054,2025-04-26,77,11,0.52
2054,2025-04-25,98,16,-1.62
2035,2025-04-23,99,11,1.56
2035,2025-04-22,62,15,-0.57
2035,2025-04-26,75,15,-0.03
2041,2025-04-23,95,5,0.76
2041,2025-04-20,96,9,-1.07
2041,2025-04-26,62,11,-0.13
2049,2025-04-24,64,8,0.72
2049,2025-04-24,88,9,-1.12
2049,2025-04-21,73,16,-1.61
2023,2025-04-22,60,18,-1.52
2023,2025-04-22,97,19,1.57
2023,2025-04-20,81,12,0.45
2034,2025-04-20,76,12,-1.82
2034,2025-04-25,77,10,0.63
2034,2025-04-25,60,20,1.27
2083,2025-04-21,86,15,-1.6
2083,2025-04-24,97,12,1.7
2083,2025-04-22,60,18,0.79
2044,2025-04-22,88,10,-1.89
2044,2025-04-20,100,5,0.67
2044,2025-04-21,71,10,-1.06
2059,2025-04-20,71,11,1.31
2059,2025-04-21,68,14,-0.16
2059,2025-04-25,88,12,0.47
2015,2025-04-20,67,11,-0.53
2015,2025-04-26,79,18,-1.38
2015,2025-04-20,70,20,-0.49
2073,2025-04-21,83,6,0.13
2073,2025-04-25,86,8,-1.66
2073,2025-04-21,73,7,-1.39
2081,2025-04-20,87,12,0.8
2081,2025-04-21,77,15,1.55
2081,2025-04-21,98,11,1.81
2026,2025-04-23,71,19,-0.88
2026,2025-04-22,98,11,1.7
2026,2025-04-26,61,11,-0.38
2088,2025-04-23,94,19,1.71
2088,2025-04-26,97,8,1.19
2088,2025-04-21,63,12,0.95
2056,2025-04-24,67,20,-0.42
2056,2025-04-25,97,9,-1.79
2056,2025-04-21,94,12,1.2
2004,2025-04-21,63,7,-1.03
2004,2025-04-24,65,15,0.1
2004,2025-04-20,76,13,-0.67
2048,2025-04-21,71,6,-0.29
2048,2025-04-26,73,9,1.21
2048,2025-04-21,100,7,0.07
2021,2025-04-24,88,7,-0.31
2021,2025-04-25,94,7,0.95
2021,2025-04-22,89,10,0.73
2077,2025-04-26,81,5,-1.87
2077,2025-04-20,61,5,1.45
2077,2025-04-25,61,7,-0.71
2003,2025-04-26,100,7,-1.67
2003,2025-04-21,90,8,-0.24
2003,2025-04-24,83,6,1.15
2065,2025-04-25,98,5,0.88
2065,2025-04-22,80,17,0.69
2065,2025-04-26,92,14,1.01
