Trip_ID,Shopper_ID,Date,Store_ID,Mission,SEC_Tier,Age_Group,Basket_Value,Distinct_SKUs
500025,12591,2025-04-21,2003,Sharing,Low-SEC,18-24,160.27,1
500026,19325,2025-04-21,2053,Top-up,Mid-SEC,25-34,386.65,6
500027,14907,2025-04-23,2060,Sharing,Mid-SEC,18-24,179.05,2
500028,10983,2025-04-20,2082,Top-up,High-SEC,25-34,54.89,7
500029,16940,2025-04-23,2087,Sharing,High-SEC,35-44,369.21,4
500030,12569,2025-04-20,2034,Health-conscious,Low-SEC,25-34,230.18,1
500031,13586,2025-04-21,2050,Impulse,High-SEC,45-54,264.84,6
500032,16637,2025-04-21,2048,Impulse,Mid-SEC,45-54,137.63,1
500033,11710,2025-04-22,2009,Sharing,Low-SEC,25-34,176.99,5
500034,11744,2025-04-21,2008,Impulse,Mid-SEC,25-34,298.26,6
500035,10530,2025-04-22,2030,Impulse,High-SEC,18-24,303.68,7
500036,17926,2025-04-20,2005,Sharing,Low-SEC,35-44,53.82,3
500037,14626,2025-04-24,2050,Top-up,Mid-SEC,45-54,376.56,2
500038,11595,2025-04-23,2042,Impulse,High-SEC,25-34,60.66,7
500039,16260,2025-04-24,2061,Impulse,Mid-SEC,25-34,118.19,4
500040,11290,2025-04-20,2080,Top-up,Low-SEC,25-34,395.97,2
500041,18218,2025-04-25,2066,Sharing,Mid-SEC,25-34,202.56,3
500042,17059,2025-04-25,2005,Health-conscious,Low-SEC,25-34,498.65,5
500043,11228,2025-04-24,2019,Health-conscious,Low-SEC,18-24,114.18,7
500044,15071,2025-04-26,2070,Impulse,Mid-SEC,18-24,254.66,2
500045,14843,2025-04-20,2020,Sharing,High-SEC,35-44,209.02,1
500046,12935,2025-04-22,2058,Health-conscious,Mid-SEC,45-54,342.63,2
500047,12031,2025-04-23,2072,Impulse,Mid-SEC,35-44,230.42,7
500048,12113,2025-04-22,2056,Sharing,Mid-SEC,18-24,356.99,5
500049,17374,2025-04-25,2033,Impulse,High-SEC,18-24,383.47,2
500050,19188,2025-04-21,2001,Impulse,Mid-SEC,45-54,121.19,4
500051,11195,2025-04-23,2028,Health-conscious,High-SEC,18-24,207.02,4
500052,18767,2025-04-20,2059,Impulse,Low-SEC,18-24,462.86,4
500053,17096,2025-04-23,2025,Sharing,Low-SEC,35-44,204.09,5
500054,17967,2025-04-25,2027,Health-conscious,Low-SEC,35-44,254.56,5
500055,12551,2025-04-21,2060,Top-up,Mid-SEC,18-24,494.51,7
500056,16230,2025-04-26,2007,Sharing,Mid-SEC,45-54,146.04,2
500057,10375,2025-04-23,2087,Sharing,Mid-SEC,25-34,87.62,1
500058,14487,2025-04-20,2051,Sharing,High-SEC,45-54,442.08,5
500059,13507,2025-04-22,2085,Top-up,Low-SEC,18-24,452.73,4
500060,15603,2025-04-21,2038,Top-up,Mid-SEC,45-54,266.73,5
500061,12632,2025-04-23,2089,Sharing,High-SEC,45-54,420.36,5
500062,19783,2025-04-20,2025,Top-up,Mid-SEC,35-44,56.38,4
500063,12416,2025-04-26,2063,Sharing,Low-SEC,45-54,168.26,6
500064,10060,2025-04-26,2057,Top-up,High-SEC,45-54,337.51,5
500065,11596,2025-04-21,2004,Top-up,Mid-SEC,25-34,320.42,2
500066,15703,2025-04-21,2026,Impulse,Mid-SEC,35-44,57.29,3
500067,18226,2025-04-25,2015,Health-conscious,High-SEC,45-54,236.32,3
500068,15770,2025-04-23,2069,Sharing,Low-SEC,25-34,256.47,3
500069,12898,2025-04-24,2070,Top-up,High-SEC,45-54,221.7,7
500070,17167,2025-04-22,2081,Impulse,Low-SEC,18-24,90.34,1
500071,16738,2025-04-23,2013,Impulse,High-SEC,45-54,276.51,7
500072,10534,2025-04-22,2085,Health-conscious,Low-SEC,25-34,399.6,5
500073,16243,2025-04-21,2014,Health-conscious,Low-SEC,35-44,485.43,4
500074,16765,2025-04-25,2082,Health-conscious,Low-SEC,35-44,401.99,5
500075,14646,2025-04-25,2034,Sharing,Mid-SEC,45-54,352.99,1
500076,16792,2025-04-20,2004,Impulse,Low-SEC,35-44,428.35,5
500077,19829,2025-04-22,2040,Top-up,High-SEC,45-54,158.82,4
500078,13156,2025-04-25,2078,Health-conscious,Low-SEC,45-54,107.99,6
500079,16396,2025-04-23,2022,Sharing,High-SEC,25-34,246.83,1
500080,12069,2025-04-20,2064,Health-conscious,High-SEC,35-44,426.8,2
500081,15282,2025-04-20,2026,Impulse,Low-SEC,45-54,55.19,7
500082,19720,2025-04-20,2019,Impulse,High-SEC,45-54,61.38,6
500083,12138,2025-04-25,2058,Sharing,Low-SEC,25-34,343.64,2
500084,14864,2025-04-24,2024,Top-up,High-SEC,45-54,396.68,6
500085,10847,2025-04-20,2035,Top-up,High-SEC,18-24,337.27,5
500086,11694,2025-04-23,2014,Impulse,Low-SEC,25-34,177.11,2
500087,11520,2025-04-23,2009,Sharing,Low-SEC,45-54,95.3,7
500088,10359,2025-04-20,2052,Health-conscious,High-SEC,18-24,144.63,4
500089,16148,2025-04-25,2040,Health-conscious,Low-SEC,25-34,184.44,2
500090,19294,2025-04-24,2080,Impulse,Low-SEC,35-44,497.18,4
500091,19830,2025-04-20,2069,Top-up,High-SEC,35-44,466.96,2
500092,19930,2025-04-24,2003,Impulse,High-SEC,25-34,147.34,3
500093,11880,2025-04-20,2027,Sharing,Low-SEC,25-34,87.55,6
500094,12073,2025-04-22,2034,Health-conscious,Low-SEC,18-24,206.85,5
500095,14822,2025-04-25,2059,Health-conscious,Mid-SEC,45-54,465.06,3
500096,12833,2025-04-25,2025,Sharing,Mid-SEC,18-24,312.64,7
500097,19626,2025-04-21,2039,Top-up,High-SEC,45-54,245.06,4
500098,16942,2025-04-25,2076,Sharing,Mid-SEC,18-24,323.28,4
500099,13272,2025-04-22,2072,Sharing,High-SEC,18-24,252.23,1
500100,18378,2025-04-24,2032,Health-conscious,Mid-SEC,35-44,229.24,1
500101,12947,2025-04-23,2041,Top-up,Mid-SEC,25-34,82.69,6
500102,16089,2025-04-21,2047,Sharing,Low-SEC,18-24,193.37,1
500103,15388,2025-04-23,2027,Sharing,Low-SEC,18-24,223.52,5
500104,13476,2025-04-21,2067,Impulse,High-SEC,35-44,372.32,7
500105,11225,2025-04-25,2073,Health-conscious,High-SEC,45-54,193.0,3
500106,13246,2025-04-20,2025,Health-conscious,Mid-SEC,18-24,495.62,4
500107,11953,2025-04-23,2015,Top-up,High-SEC,35-44,316.03,2
500108,19443,2025-04-22,2002,Impulse,High-SEC,18-24,460.24,3
500109,12147,2025-04-20,2051,Impulse,Mid-SEC,18-24,81.25,1
500110,16800,2025-04-22,2038,Sharing,Mid-SEC,45-54,85.9,7
500111,15131,2025-04-24,2063,Impulse,Mid-SEC,35-44,363.41,4
500112,18082,2025-04-20,2082,Sharing,High-SEC,18-24,63.18,1
500113,10170,2025-04-20,2017,Sharing,High-SEC,45-54,151.85,1
500114,13131,2025-04-26,2047,Impulse,High-SEC,18-24,166.86,7
500115,10705,2025-04-20,2014,Sharing,Low-SEC,35-44,198.2,5
500116,16218,2025-04-25,2034,Top-up,Low-SEC,45-54,103.96,3
500117,12424,2025-04-26,2074,Health-conscious,High-SEC,45-54,350.71,5
500118,18644,2025-04-24,2030,Health-conscious,High-SEC,45-54,489.36,3
500119,17908,2025-04-20,2028,Sharing,Mid-SEC,18-24,208.85,7
500120,13971,2025-04-25,2084,Top-up,High-SEC,18-24,83.81,4
500121,10987,2025-04-20,2027,Top-up,Mid-SEC,45-54,134.56,1
500122,15577,2025-04-26,2026,Sharing,Mid-SEC,45-54,344.88,7
500123,18265,2025-04-21,2013,Top-up,Mid-SEC,45-54,488.78,7
500124,18412,2025-04-26,2025,Health-conscious,Low-SEC,18-24,175.03,2
500125,15032,2025-04-25,2073,Impulse,Low-SEC,45-54,444.29,6
500126,11805,2025-04-20,2030,Health-conscious,Low-SEC,35-44,62.86,6
500127,18698,2025-04-22,2057,Sharing,Low-SEC,18-24,209.49,2
500128,12467,2025-04-24,2050,Health-conscious,High-SEC,35-44,73.92,3
500129,16058,2025-04-20,2012,Health-conscious,High-SEC,45-54,137.27,2
500130,16597,2025-04-24,2022,Sharing,High-SEC,45-54,283.38,1
500131,10817,2025-04-21,2082,Impulse,Low-SEC,18-24,73.91,1
500132,19424,2025-04-21,2034,Impulse,High-SEC,18-24,173.96,5
500133,16628,2025-04-23,2050,Impulse,Low-SEC,35-44,272.83,2
500134,13335,2025-04-25,2044,Sharing,High-SEC,35-44,380.25,1
500135,13032,2025-04-25,2064,Health-conscious,High-SEC,35-44,433.65,6
500136,13909,2025-04-22,2021,Impulse,Low-SEC,25-34,199.47,4
500137,12323,2025-04-25,2001,Health-conscious,Mid-SEC,35-44,59.37,3
500138,11261,2025-04-25,2021,Impulse,High-SEC,35-44,486.29,5
500139,10016,2025-04-26,2062,Top-up,Mid-SEC,18-24,70.33,1
500140,19294,2025-04-22,2087,Top-up,High-SEC,25-34,389.75,7
500141,11538,2025-04-22,2012,Sharing,Mid-SEC,45-54,380.67,5
500142,14216,2025-04-23,2084,Sharing,Mid-SEC,45-54,56.1,3
500143,14933,2025-04-24,2042,Health-conscious,Low-SEC,35-44,358.6,6
500144,10339,2025-04-23,2018,Top-up,High-SEC,25-34,210.74,1
500145,14003,2025-04-25,2073,Health-conscious,Mid-SEC,25-34,384.96,2
500146,16189,2025-04-20,2081,Sharing,High-SEC,45-54,494.3,5
500147,12866,2025-04-25,2033,Sharing,Mid-SEC,45-54,315.12,3
500148,15067,2025-04-20,2024,Sharing,High-SEC,18-24,245.06,4
500149,19284,2025-04-22,2044,Impulse,Low-SEC,45-54,467.25,2
500150,17640,2025-04-21,2087,Sharing,High-SEC,25-34,186.64,3
500151,11058,2025-04-20,2037,Health-conscious,Low-SEC,25-34,177.36,5
500152,12022,2025-04-23,2006,Sharing,Low-SEC,45-54,208.51,7
500153,10010,2025-04-22,2006,Top-up,Mid-SEC,35-44,403.37,5
500154,19187,2025-04-20,2019,Sharing,Low-SEC,25-34,244.42,1
500155,14764,2025-04-20,2028,Health-conscious,Mid-SEC,25-34,415.27,6
500156,16328,2025-04-23,2054,Impulse,Mid-SEC,35-44,318.67,2
500157,19239,2025-04-25,2055,Sharing,High-SEC,25-34,357.49,2
500158,14096,2025-04-23,2017,Top-up,Mid-SEC,35-44,88.52,5
500159,17555,2025-04-21,2069,Health-conscious,Mid-SEC,18-24,112.37,4
500160,15132,2025-04-25,2064,Sharing,Mid-SEC,35-44,242.45,4
500161,16721,2025-04-20,2059,Impulse,Mid-SEC,18-24,390.14,5
500162,14954,2025-04-24,2031,Sharing,Low-SEC,35-44,74.09,7
500163,16433,2025-04-23,2016,Impulse,Mid-SEC,45-54,427.64,1
500164,10896,2025-04-26,2034,Impulse,Mid-SEC,18-24,419.87,5
500165,17888,2025-04-22,2088,Impulse,Low-SEC,18-24,365.71,5
500166,12361,2025-04-25,2071,Health-conscious,Low-SEC,25-34,452.77,6
500167,12535,2025-04-25,2038,Sharing,High-SEC,18-24,412.53,5
500168,13288,2025-04-20,2014,Impulse,Low-SEC,18-24,283.92,2
500169,13347,2025-04-23,2013,Impulse,High-SEC,45-54,225.82,1
500170,14913,2025-04-23,2051,Top-up,Low-SEC,35-44,419.76,6
500171,17194,2025-04-24,2084,Impulse,Mid-SEC,25-34,336.29,2
500172,12321,2025-04-21,2084,Top-up,High-SEC,25-34,264.27,3
500173,14742,2025-04-20,2085,Health-conscious,Mid-SEC,35-44,226.04,6
500174,11758,2025-04-23,2059,Health-conscious,Low-SEC,18-24,177.54,1
500175,19244,2025-04-20,2049,Sharing,Low-SEC,45-54,69.18,3
500176,12282,2025-04-25,2059,Health-conscious,Mid-SEC,18-24,491.79,3
500177,18202,2025-04-21,2064,Sharing,High-SEC,45-54,280.87,2
500178,12480,2025-04-25,2045,Sharing,Mid-SEC,25-34,175.25,7
500179,14963,2025-04-20,2050,Health-conscious,Mid-SEC,45-54,322.63,2
500180,19437,2025-04-26,2064,Sharing,Low-SEC,35-44,314.98,5
500181,15703,2025-04-24,2074,Health-conscious,Low-SEC,18-24,63.28,6
500182,12607,2025-04-20,2029,Impulse,Mid-SEC,45-54,195.65,2
500183,13876,2025-04-21,2013,Health-conscious,Mid-SEC,18-24,77.87,3
500184,11875,2025-04-26,2004,Impulse,Mid-SEC,35-44,322.94,7
500185,10482,2025-04-22,2022,Impulse,High-SEC,45-54,219.93,6
500186,19400,2025-04-21,2071,Top-up,Mid-SEC,45-54,246.88,3
500187,13694,2025-04-25,2025,Top-up,Mid-SEC,25-34,88.71,1
500188,11576,2025-04-20,2026,Top-up,Low-SEC,35-44,398.47,5
500189,18955,2025-04-22,2009,Top-up,High-SEC,45-54,135.56,2
500190,19344,2025-04-24,2060,Sharing,Mid-SEC,25-34,410.72,4
500191,17004,2025-04-23,2080,Impulse,High-SEC,18-24,107.24,5
500192,14886,2025-04-20,2012,Health-conscious,Low-SEC,18-24,320.67,3
500193,10369,2025-04-26,2028,Sharing,Mid-SEC,45-54,366.47,1
500194,12586,2025-04-20,2036,Top-up,High-SEC,35-44,229.65,1
500195,18944,2025-04-20,2089,Health-conscious,Mid-SEC,18-24,64.52,4
500196,14274,2025-04-22,2025,Impulse,Low-SEC,25-34,296.19,6
500197,15400,2025-04-20,2084,Top-up,Mid-SEC,18-24,412.55,5
500198,19994,2025-04-26,2089,Impulse,Mid-SEC,18-24,477.46,5
500199,11320,2025-04-23,2070,Top-up,Mid-SEC,18-24,96.83,4
500200,18316,2025-04-25,2028,Sharing,Mid-SEC,45-54,186.54,7
500201,13731,2025-04-20,2002,Impulse,Low-SEC,45-54,356.87,6
500202,10296,2025-04-23,2070,Impulse,Mid-SEC,45-54,362.95,4
500203,16993,2025-04-21,2070,Impulse,Mid-SEC,18-24,453.72,3
500204,15763,2025-04-22,2024,Health-conscious,Low-SEC,25-34,154.42,5
500205,10164,2025-04-23,2029,Impulse,Low-SEC,25-34,415.68,1
500206,10928,2025-04-23,2016,Top-up,Mid-SEC,18-24,191.36,5
500207,14001,2025-04-21,2037,Health-conscious,Mid-SEC,18-24,345.47,1
500208,14099,2025-04-21,2069,Health-conscious,High-SEC,35-44,453.94,7
500209,13609,2025-04-25,2056,Sharing,Mid-SEC,35-44,441.04,2
500210,18631,2025-04-22,2034,Impulse,Low-SEC,35-44,455.19,6
500211,17966,2025-04-20,2035,Top-up,Low-SEC,25-34,187.22,5
500212,13453,2025-04-22,2015,Top-up,Low-SEC,25-34,364.25,6
500213,17434,2025-04-20,2014,Health-conscious,Low-SEC,35-44,175.09,4
500214,14921,2025-04-20,2010,Sharing,High-SEC,45-54,272.91,7
500215,16268,2025-04-23,2049,Impulse,Low-SEC,25-34,220.7,6
500216,17062,2025-04-20,2068,Sharing,Low-SEC,35-44,471.75,5
500217,15508,2025-04-26,2033,Top-up,Low-SEC,35-44,376.6,5
500218,17111,2025-04-26,2054,Impulse,Low-SEC,45-54,478.61,6
500219,14709,2025-04-23,2068,Health-conscious,High-SEC,35-44,123.15,4
500220,17656,2025-04-21,2030,Impulse,Mid-SEC,35-44,88.49,2
500221,18893,2025-04-22,2037,Health-conscious,Low-SEC,35-44,212.76,6
500222,14104,2025-04-26,2083,Impulse,Low-SEC,35-44,305.8,3
500223,14333,2025-04-23,2022,Health-conscious,Low-SEC,45-54,53.99,1
500224,15877,2025-04-25,2061,Top-up,Mid-SEC,18-24,310.81,1
500225,14529,2025-04-24,2078,Sharing,Low-SEC,45-54,130.91,7
500226,14524,2025-04-26,2033,Health-conscious,Low-SEC,25-34,333.65,2
500227,10812,2025-04-20,2029,Impulse,Low-SEC,45-54,310.95,1
500228,19067,2025-04-20,2029,Sharing,Mid-SEC,18-24,355.27,7
500229,15789,2025-04-25,2069,Impulse,High-SEC,25-34,207.38,1
500230,18305,2025-04-20,2056,Impulse,Low-SEC,25-34,196.61,3
500231,16815,2025-04-25,2009,Health-conscious,Mid-SEC,25-34,61.11,5
500232,15902,2025-04-23,2042,Sharing,Mid-SEC,35-44,329.86,2
500233,16034,2025-04-22,2005,Top-up,High-SEC,18-24,97.8,2
500234,15129,2025-04-25,2065,Sharing,Low-SEC,45-54,423.83,1
500235,12458,2025-04-26,2048,Impulse,Low-SEC,25-34,304.43,5
500236,18982,2025-04-24,2053,Impulse,High-SEC,18-24,323.2,6
500237,18592,2025-04-23,2066,Sharing,Mid-SEC,25-34,426.2,3
500238,13998,2025-04-21,2042,Sharing,Low-SEC,45-54,191.67,1
500239,13949,2025-04-25,2056,Health-conscious,Mid-SEC,18-24,208.39,5
500240,11252,2025-04-25,2046,Health-conscious,High-SEC,25-34,252.04,4
500241,13764,2025-04-26,2072,Top-up,High-SEC,25-34,399.4,4
500242,19580,2025-04-21,2085,Sharing,Mid-SEC,35-44,191.23,1
500243,16692,2025-04-24,2053,Top-up,High-SEC,45-54,334.68,7
500244,13245,2025-04-23,2023,Impulse,Low-SEC,18-24,238.38,7
500245,19086,2025-04-25,2060,Impulse,Low-SEC,18-24,425.24,1
500246,12735,2025-04-21,2009,Health-conscious,Mid-SEC,35-44,107.35,6
500247,19124,2025-04-25,2030,Sharing,Low-SEC,35-44,453.84,3
500248,19690,2025-04-24,2077,Impulse,High-SEC,18-24,83.19,3
500249,17354,2025-04-25,2052,Health-conscious,High-SEC,45-54,180.18,4
500250,12205,2025-04-25,2023,Impulse,Low-SEC,18-24,317.1,3
500251,17430,2025-04-22,2048,Health-conscious,Low-SEC,35-44,475.15,1
500252,13805,2025-04-23,2038,Sharing,Low-SEC,45-54,178.37,4
500253,15219,2025-04-21,2022,Impulse,High-SEC,25-34,243.74,3
500254,19423,2025-04-22,2078,Impulse,Mid-SEC,35-44,124.52,3
500255,14486,2025-04-23,2062,Top-up,Low-SEC,35-44,472.64,3
500256,19931,2025-04-21,2013,Sharing,Low-SEC,18-24,143.08,7
500257,18334,2025-04-20,2021,Impulse,High-SEC,25-34,53.0,7
500258,10422,2025-04-21,2047,Sharing,High-SEC,45-54,379.44,5
500259,12067,2025-04-22,2058,Impulse,High-SEC,18-24,249.98,4
500260,18081,2025-04-20,2033,Top-up,Mid-SEC,18-24,485.8,7
500261,11295,2025-04-25,2028,Impulse,Mid-SEC,25-34,278.18,3
500262,17429,2025-04-25,2080,Impulse,High-SEC,35-44,451.52,1
500263,17100,2025-04-25,2012,Sharing,Low-SEC,18-24,477.13,6
500264,10130,2025-04-21,2031,Health-conscious,Low-SEC,25-34,169.38,2
500265,17938,2025-04-25,2023,Health-conscious,Mid-SEC,25-34,139.36,1
500266,18459,2025-04-20,2027,Health-conscious,Low-SEC,45-54,300.98,2
500267,12918,2025-04-23,2004,Sharing,High-SEC,45-54,333.96,2
500268,15713,2025-04-24,2061,Top-up,Mid-SEC,25-34,443.77,6
500269,17947,2025-04-26,2062,Health-conscious,High-SEC,35-44,294.54,3
500270,11581,2025-04-20,2028,Sharing,Mid-SEC,45-54,196.43,6
500271,16960,2025-04-21,2014,Health-conscious,Mid-SEC,18-24,206.41,4
500272,12098,2025-04-26,2061,Health-conscious,High-SEC,45-54,359.25,1
500273,14766,2025-04-24,2034,Top-up,Mid-SEC,18-24,303.02,3
500274,14286,2025-04-22,2086,Health-conscious,Mid-SEC,45-54,241.34,3
500275,10895,2025-04-23,2034,Top-up,Mid-SEC,18-24,188.83,4
500276,13625,2025-04-21,2073,Top-up,High-SEC,18-24,476.55,5
500277,15401,2025-04-24,2016,Impulse,High-SEC,18-24,411.09,1
500278,15460,2025-04-26,2045,Impulse,High-SEC,18-24,283.39,3
500279,18773,2025-04-21,2025,Health-conscious,High-SEC,25-34,180.58,2
500280,16125,2025-04-23,2042,Top-up,High-SEC,25-34,473.01,1
500281,10328,2025-04-20,2067,Health-conscious,Mid-SEC,18-24,120.63,3
500282,10397,2025-04-25,2029,Top-up,Low-SEC,35-44,387.46,7
500283,16190,2025-04-23,2083,Top-up,High-SEC,35-44,437.89,1
500284,11210,2025-04-25,2064,Health-conscious,Low-SEC,18-24,384.19,5
500285,19910,2025-04-20,2019,Health-conscious,Low-SEC,35-44,403.15,4
500286,18394,2025-04-22,2002,Sharing,Mid-SEC,25-34,94.86,6
500287,19440,2025-04-23,2060,Sharing,Mid-SEC,18-24,150.01,4
500288,19191,2025-04-23,2035,Sharing,High-SEC,25-34,222.08,4
500289,16449,2025-04-26,2047,Impulse,Mid-SEC,25-34,310.05,1
500290,16510,2025-04-23,2029,Sharing,Mid-SEC,18-24,339.27,3
500291,12355,2025-04-20,2080,Impulse,High-SEC,25-34,143.46,4
500292,19722,2025-04-20,2031,Top-up,Mid-SEC,45-54,285.53,7
500293,19283,2025-04-20,2029,Health-conscious,Mid-SEC,45-54,190.15,3
500294,12467,2025-04-22,2004,Health-conscious,Low-SEC,35-44,360.68,7
500295,19214,2025-04-24,2062,Health-conscious,Mid-SEC,25-34,194.83,6
500296,17913,2025-04-24,2065,Impulse,Low-SEC,45-54,364.67,4
500297,12085,2025-04-21,2001,Impulse,Low-SEC,25-34,246.92,1
500298,10639,2025-04-23,2054,Top-up,High-SEC,45-54,112.94,7
500299,18963,2025-04-23,2053,Impulse,Mid-SEC,18-24,245.97,3
500300,14441,2025-04-22,2066,Sharing,High-SEC,25-34,113.68,5
500301,13349,2025-04-25,2078,Sharing,High-SEC,35-44,262.45,2
500302,15409,2025-04-21,2017,Health-conscious,Low-SEC,35-44,237.34,2
500303,17708,2025-04-20,2008,Sharing,High-SEC,25-34,139.67,1
500304,18810,2025-04-22,2058,Impulse,Low-SEC,45-54,317.5,1
500305,15741,2025-04-24,2081,Top-up,Mid-SEC,18-24,467.55,3
500306,14656,2025-04-24,2054,Sharing,Mid-SEC,45-54,470.44,5
500307,18864,2025-04-25,2082,Top-up,Low-SEC,25-34,96.34,2
500308,14587,2025-04-22,2022,Impulse,Low-SEC,45-54,198.57,7
500309,19702,2025-04-22,2077,Health-conscious,Low-SEC,25-34,51.2,2
500310,13546,2025-04-26,2011,Top-up,Low-SEC,25-34,263.96,1
500311,15297,2025-04-20,2009,Top-up,High-SEC,45-54,241.43,4
500312,15359,2025-04-24,2038,Impulse,Low-SEC,45-54,219.79,4
500313,17773,2025-04-22,2045,Sharing,High-SEC,18-24,447.48,7
500314,13504,2025-04-25,2021,Sharing,High-SEC,25-34,427.94,5
500315,17235,2025-04-25,2062,Sharing,High-SEC,18-24,301.06,4
500316,15704,2025-04-20,2022,Sharing,Mid-SEC,35-44,377.82,2
500317,19171,2025-04-23,2024,Sharing,Low-SEC,18-24,138.13,3
500318,18618,2025-04-20,2024,Sharing,Mid-SEC,18-24,459.97,3
500319,18237,2025-04-24,2001,Sharing,Low-SEC,35-44,338.75,4
500320,10719,2025-04-25,2089,Sharing,Mid-SEC,18-24,487.01,7
500321,10498,2025-04-24,2060,Health-conscious,Mid-SEC,25-34,263.05,7
500322,18938,2025-04-20,2013,Sharing,Low-SEC,25-34,367.54,2
500323,12156,2025-04-23,2010,Impulse,Low-SEC,45-54,336.87,1
500324,15148,2025-04-26,2012,Sharing,Low-SEC,18-24,199.7,6
500325,15185,2025-04-24,2021,Sharing,High-SEC,18-24,473.25,4
500326,16821,2025-04-25,2085,Impulse,Low-SEC,25-34,421.27,5
500327,12416,2025-04-20,2034,Top-up,Mid-SEC,18-24,173.99,2
500328,18281,2025-04-21,2052,Impulse,Mid-SEC,35-44,302.25,1
500329,15594,2025-04-24,2059,Impulse,High-SEC,45-54,89.67,1
500330,12990,2025-04-21,2011,Sharing,High-SEC,18-24,395.03,7
500331,10171,2025-04-25,2027,Sharing,Mid-SEC,18-24,444.74,2
500332,15042,2025-04-25,2087,Top-up,High-SEC,25-34,189.72,4
500333,14703,2025-04-22,2022,Top-up,High-SEC,35-44,236.29,7
500334,13084,2025-04-21,2034,Top-up,Mid-SEC,35-44,363.9,3
500335,11514,2025-04-22,2062,Sharing,Mid-SEC,45-54,423.28,6
500336,12793,2025-04-26,2004,Health-conscious,Low-SEC,25-34,497.19,4
500337,15683,2025-04-26,2082,Sharing,Low-SEC,35-44,364.84,5
500338,19037,2025-04-20,2034,Top-up,Mid-SEC,25-34,260.46,1
500339,11889,2025-04-25,2066,Top-up,Mid-SEC,25-34,260.26,3
500340,16099,2025-04-23,2072,Impulse,Mid-SEC,18-24,333.26,7
500341,10129,2025-04-23,2020,Health-conscious,Mid-SEC,35-44,341.55,1
500342,13065,2025-04-22,2045,Top-up,Mid-SEC,25-34,388.42,4
500343,17478,2025-04-24,2075,Health-conscious,High-SEC,45-54,263.11,2
500344,14138,2025-04-24,2047,Sharing,Mid-SEC,45-54,185.08,2
500345,18306,2025-04-23,2013,Health-conscious,Mid-SEC,45-54,316.88,2
500346,18391,2025-04-22,2021,Top-up,High-SEC,25-34,108.45,3
500347,10881,2025-04-22,2011,Top-up,Mid-SEC,45-54,228.2,4
500348,10013,2025-04-21,2084,Top-up,Low-SEC,35-44,188.39,2
500349,13869,2025-04-23,2026,Impulse,High-SEC,25-34,119.36,5
500350,16131,2025-04-23,2000,Top-up,Mid-SEC,18-24,261.86,6
500351,16456,2025-04-21,2089,Health-conscious,High-SEC,45-54,424.11,6
500352,13977,2025-04-23,2012,Top-up,Mid-SEC,25-34,229.95,3
500353,14639,2025-04-25,2086,Health-conscious,High-SEC,45-54,290.35,3
500354,18000,2025-04-25,2085,Impulse,Low-SEC,25-34,395.53,3
500355,15935,2025-04-24,2043,Impulse,High-SEC,45-54,461.56,6
500356,13769,2025-04-23,2017,Top-up,Low-SEC,25-34,185.87,1
500357,15563,2025-04-25,2049,Top-up,Mid-SEC,25-34,178.23,4
500358,17875,2025-04-22,2004,Health-conscious,Low-SEC,25-34,229.2,5
500359,11743,2025-04-26,2059,Impulse,Mid-SEC,18-24,345.14,4
